order_id,customer_id,product_id,order_date,quantity,discount_pct
10001,2,101,2026-02-17,3,0
10002,4,103,2026-02-17,1,15
10003,2,110,2026-01-28,1,0
10004,2,104,2026-01-15,5,15
10005,1,109,2026-01-13,5,10
10006,4,108,2026-02-07,3,0
10007,3,107,2026-01-22,3,0
10008,4,106,2026-01-07,1,10
10009,2,106,2026-02-24,3,15
10010,5,101,2026-02-16,4,15
10011,2,107,2026-01-06,5,5
10012,10,106,2026-02-06,2,0
10013,1,104,2026-02-19,3,0
10014,4,102,2026-01-25,3,10
10015,6,103,2026-01-24,3,0
10016,5,102,2026-02-08,2,15
10017,4,103,2026-01-30,4,5
10018,9,104,2026-02-13,3,0
10019,4,101,2026-02-21,3,10
10020,5,102,2026-01-14,5,5
10021,4,108,2026-01-26,4,0
10022,5,103,2026-01-16,5,15
10023,5,110,2026-01-28,5,10
10024,6,104,2026-01-09,5,10
10025,2,101,2026-02-25,1,0
10026,3,107,2026-02-08,1,10
10027,7,110,2026-01-30,5,5
10028,9,101,2026-02-13,1,15
10029,5,106,2026-01-08,3,10
10030,3,108,2026-01-01,3,15
10031,3,109,2026-02-28,1,5
10032,9,110,2026-01-13,2,5
10033,3,109,2026-02-19,5,0
10034,10,106,2026-02-01,1,0
10035,6,105,2026-01-16,1,0
10036,10,102,2026-01-06,4,0
10037,9,103,2026-01-09,4,15
10038,3,105,2026-02-03,5,10
10039,4,109,2026-02-18,2,5
10040,7,106,2026-01-29,5,10
10041,2,104,2026-01-15,1,5
10042,1,110,2026-02-05,2,15
10043,4,101,2026-01-05,1,0
10044,2,101,2026-02-25,3,0
10045,9,104,2026-01-18,4,0
10046,9,103,2026-02-16,5,15
10047,8,104,2026-02-20,4,10
10048,4,102,2026-01-07,4,5
10049,7,107,2026-01-30,1,0
10050,1,107,2026-02-16,3,0
10051,4,104,2026-01-13,5,10
10052,3,107,2026-01-12,3,10
10053,4,102,2026-01-29,5,0
10054,1,109,2026-02-23,1,0
10055,4,103,2026-01-27,4,10
10056,4,107,2026-02-27,1,0
10057,7,101,2026-01-25,3,10
10058,5,107,2026-02-14,5,10
10059,3,104,2026-01-19,2,0
10060,10,109,2026-01-04,3,0
